,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,
0.1,2,0,1,2,5,1,2,1,1,100
0.2,2,2,4,0,3,0,4,0,3,200
0.3,2,2,1,1,3,1,1,0,1,300
0.4,2,1,2,1,2,1,4,1,2,400
0.5,1,5,1,0,1,2,2,0,3,500
0.6,1,1,1,5,1,0,3,0,3,600
0.7,2,1,2,0,4,4,1,1,2,700
0.8,1,2,2,4,3,4,0,0,0,800
0.9,1,0,0,1,3,1,4,0,1,900
1,1,2,3,0,5,1,4,1,4,1000
1.1,2,0,2,3,5,4,5,1,2,1100
1.2,1,0,0,0,1,0,2,0,1,1200
1.3,2,0,3,1,4,0,1,1,2,1300
1.4,1,0,1,1,1,3,3,0,2,1400
1.5,0,2,2,2,5,1,3,0,3,1500
1.6,1,1,1,1,3,5,4,1,1,1600
1.7,2,1,3,2,3,0,1,1,3,1700
1.8,1,0,1,1,1,2,0,0,1,1800
1.9,1,4,1,1,1,2,5,1,0,1900
2,1,2,5,5,3,1,2,0,2,2000
2.1,2,0,2,1,6,1,2,0,2,2100
2.2,0,1,2,2,0,2,5,2,1,2200
2.3,1,1,1,3,0,0,1,0,3,2300
2.4,2,0,4,1,5,1,3,1,4,2400
2.5,2,1,4,0,2,1,1,0,3,2500
2.6,2,2,3,2,0,0,2,0,4,2600
2.7,1,2,2,2,3,3,1,0,1,2700
2.8,1,1,2,2,0,5,3,1,3,2800
2.9,1,4,2,0,4,3,4,0,2,2900
3,2,1,2,0,2,3,1,0,15,3000
3.1,1,0,1,1,7,3,2,0,11,3100
3.2,1,1,3,2,0,2,3,0,3,3200
3.3,2,2,4,2,8,1,4,0,3,3300
3.4,1,2,2,1,1,0,3,0,4,3400
3.5,0,1,1,2,1,4,3,0,1,3500
3.6,1,0,1,1,3,1,0,1,3,3600
3.7,1,2,2,1,3,1,4,0,1,3700
3.8,2,3,1,3,1,1,14,0,2,3800
3.9,0,1,1,2,3,2,11,0,1,3900
4,2,1,1,1,1,2,34,0,5,4000
4.1,1,3,2,2,2,1,8,0,2,4100
4.2,2,1,3,2,1,1,8,0,3,4200
4.3,0,1,3,2,1,5,4,0,2,4300
4.4,2,1,1,0,2,2,5,0,1,4400
4.5,0,3,3,2,2,3,0,0,2,4500
4.6,1,0,3,3,2,6,2,0,2,4600
4.7,1,1,1,0,3,2,0,0,5,4700
4.8,0,0,2,0,3,3,1,0,1,4800
4.9,1,1,1,3,5,3,7,0,3,4900
5,1,1,1,1,4,3,7,0,6,5000
5.1,0,2,1,2,1,1,9,1,2,5100
5.2,3,3,1,2,1,0,1,1,0,5200
5.3,0,1,3,3,3,2,6,0,3,5300
5.4,0,0,1,1,3,3,1,0,1,5400
5.5,2,2,3,0,4,0,3,0,2,5500
5.6,1,2,5,2,0,1,3,1,1,5600
5.7,1,2,1,2,2,3,4,0,3,5700
5.8,0,2,0,2,4,0,1,1,0,5800
5.9,2,1,0,0,3,3,2,0,4,5900
6,0,2,2,3,1,2,3,1,2,6000
6.1,2,2,1,1,5,3,6,1,3,6100
6.2,1,0,4,1,2,3,4,0,3,6200
6.3,0,1,1,2,2,8,5,0,8,6300
6.4,2,1,1,0,3,0,3,0,4,6400
6.5,0,1,1,0,4,1,1,0,2,6500
6.6,1,3,2,3,4,3,3,0,5,6600
6.7,0,0,3,2,0,3,3,0,1,6700
6.8,3,0,0,1,6,2,7,0,1,6800
6.9,3,0,1,1,1,1,3,1,0,6900
7,3,0,0,0,3,5,3,1,1,7000
7.1,0,1,3,0,4,0,3,0,0,7100
7.2,2,2,2,2,3,0,6,0,5,7200
7.3,0,3,2,3,3,1,1,0,1,7300
7.4,0,1,3,2,0,0,3,0,5,7400
7.5,2,0,1,1,4,0,2,0,1,7500
7.6,0,1,5,1,4,4,2,0,0,7600
7.7,0,1,2,2,3,1,0,0,3,7700
7.8,3,0,1,2,4,3,0,0,4,7800
7.9,2,1,4,0,3,0,3,0,4,7900
8,1,0,2,0,5,3,2,0,3,8000
8.1,0,2,2,1,6,3,1,0,1,8100
8.2,0,1,0,2,1,1,3,0,0,8200
8.3,1,1,2,0,0,1,4,1,1,8300
8.4,2,2,3,1,5,2,3,0,0,8400
8.5,1,2,0,1,2,4,1,1,2,8500
8.6,4,1,3,1,2,0,2,0,3,8600
8.7,1,0,3,2,2,2,5,0,0,8700
8.8,1,2,2,1,1,2,1,1,0,8800
